Tweet,loc,State
@3AWNeilMitchell @3AW693 now spruking vaccine passport. It’s like his talking points are given to him by the deep s… https://t.co/dMRNjpVAyx,"Victoria, Australia",NA
"** NO   Mask !!!
** NO   Vaccine !!!
** NO   Control !!!
**  Deep  State  Out !!!",,NA
"Who, other than me believes that “operation warp speed” has nothing to do with vaccine production? Might as well re… https://t.co/BNz5ARKNkd","Oregon, USA",Oregon
"RT @PkPatriot1947: @ZaidZamanHamid The government is incompetent. We all know that. But if the ""Pakistan state"" too does not understand the…","Karachi, Pakistan",NA
"May 27, 2020
The Injection Fraud – It’s Not a Vaccine – Solari Report
https://t.co/1K6flPSVUM

https://t.co/pSyaCzB237",Earth,NA
"She has a banner photo of when Trump exposed Fauci as deep state.

She is holding up her vaccine card in her avi. https://t.co/g0WztqUumV",,NA
"Shooting the vaccine
Bill Gates is in my bloodstream
It's mind control
The Earth is flat and cold
It's never warmin… https://t.co/DkykunzfVX","Brescia, Lombardia",NA
@TusharN20 @PriyankaBII @LakhobaLokhande @Sorted_66 @FashivS @RaneVirendra @R_priyamv7 @1mrgsay @TikhatNThet… https://t.co/UsJKoRcfkj,,NA
I am a big supporter of HCQ. But if allowed to be used we never would have given them a reason to usher in drop box… https://t.co/l1pFBjpkLB,"Galveston County, TX",Texas
Deadly Deep State Vaccine Warfare! Q+ Trump Is Saving Millions of Lives Plus Waking Up Billions More https://t.co/CljqtcRqFz,"Asheville, NC",North Carolina
"RT @HimalayanHv: @DrPramodPSawant @goacm Personal message to Goa CM Pramod Sawant from Capt Ajit Vadakayil

YOU PRAISED VACCINES , AND LIED…",Kurnoool,NA
@GregAbbott_TX I’m starting to think the deep state did insert a chip into your arm via vaccine. You’re trippin’.,"Houston, TX",Texas
"RT @HimalayanHv: @HardeepSPuri @benice2021_ They are all sailing in th same boat of Global Vaccine lobby

When Jewish Deep state says Jump…",Mumbai,NA
I'm having the worst deep state of depression I've had in years and I'm scheduled for Covid vaccine 2 tomorrow and… https://t.co/cJCX3G2rm1,,NA
"RT @HimalayanHv: @DrPramodPSawant @goacm Personal message to Goa CM Pramod Sawant from Capt Ajit Vadakayil

YOU PRAISED VACCINES , AND LIED…",,NA
"RT @HimalayanHv: @DrPramodPSawant @goacm Personal message to Goa CM Pramod Sawant from Capt Ajit Vadakayil

YOU PRAISED VACCINES , AND LIED…",,NA
"RT @HimalayanHv: @AbeCrossX Deep state darling Gujju no2  PM Modi has surrendered India's sovereignty to the Jewish Vaccine lobby.

Indians…",India,NA
"RT @Ikn0Ihcas0: Nothing surprising.

If all members had unanimously agreed for Vaccine Passports, then it wudnt look nice.

Hence they made…",India,NA
"@SavinBlr @JhaSanjay This deep rooted upper strata mentality goes back to 3000 years. For this reason, some people… https://t.co/S05EI7FWIK","West Bengal, India",NA
"Nothing surprising.

If all members had unanimously agreed for Vaccine Passports, then it wudnt look nice.

Hence t… https://t.co/s79qAMPPwo",,NA
"@GreatGameIndia Nothing surprising.

If all members had unanimously agreed for Vaccine Passports, then it wudnt loo… https://t.co/KmdzsLpOws",,NA
"RT @HimalayanHv: @DrPramodPSawant @goacm Personal message to Goa CM Pramod Sawant from Capt Ajit Vadakayil

YOU PRAISED VACCINES , AND LIED…",भारत,NA
"RT @HimalayanHv: @DrPramodPSawant @goacm Personal message to Goa CM Pramod Sawant from Capt Ajit Vadakayil

YOU PRAISED VACCINES , AND LIED…",,NA
